[Thu 2018-04-12 04:54:07 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:57:37 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:57:38 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:57:39 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:57:40 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 04:57:42 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 04:57:43 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:44 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:45 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:46 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 14 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:46 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 15 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:47 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 16 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:57:48 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 17 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:57:49 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 18 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:57:50 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 19 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:51 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 20 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:52 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 21 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:54 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 22 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:57:55 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 23 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:56 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 24 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:57:56 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 25 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:57:57 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 26 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:57:58 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 27 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:58:00 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 28 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 04:58:01 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 29 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:58:02 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 30 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:58:03 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 31 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 04:58:04 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 32 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:58:05 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 33 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:58:06 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 34 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 04:58:07 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 35 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 04:58:08 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 36 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 04:58:09 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 37 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:58:10 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 38 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 04:58:11 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 39 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 05:00:11 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:00:12 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:00:13 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:00:14 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:00:16 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:00:17 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:00:18 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:00:19 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:00:20 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:00:22 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:00:23 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:00:24 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:00:25 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:00:27 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 05:08:04 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 24 | Count of Insert: 24 | Status OK
[Thu 2018-04-12 05:08:08 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 05:08:11 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 17 | Count of Insert: 17 | Status OK
[Thu 2018-04-12 05:08:14 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-12 05:08:17 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-12 05:08:20 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 21 | Count of Insert: 21 | Status OK
[Thu 2018-04-12 05:08:23 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 05:19:16 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 05:19:18 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-12 05:19:20 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 05:19:22 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 05:19:23 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 05:19:25 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 05:19:26 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:19:28 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Thu 2018-04-12 05:19:29 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:19:30 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:19:31 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:19:33 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 18 | Count of Insert: 18 | Status OK
[Thu 2018-04-12 05:19:34 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 05:19:36 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 05:19:38 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 14 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 05:29:16 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:16 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:18 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:19 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 05:29:20 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:21 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:23 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:24 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:25 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:26 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 9 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 05:29:27 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 10 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:28 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 11 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:29 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 12 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:30 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 13 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:31 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 14 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:32 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 15 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:32 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 16 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:33 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 17 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:34 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 18 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:35 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 19 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:36 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 20 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:37 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 21 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:38 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 22 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 05:29:39 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 23 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:40 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 24 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:41 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 25 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:42 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 26 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:44 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 27 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Thu 2018-04-12 05:29:44 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 28 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:45 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 29 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:46 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 30 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:47 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 31 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:48 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 32 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:49 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 33 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:50 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 34 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-04-12 05:29:50 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 35 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:29:51 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 36 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:29:52 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 37 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:29:53 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 38 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:31:49 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 0 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-04-12 05:31:50 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 1 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:31:51 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 2 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:31:52 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:31:53 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 4 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:31:54 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 5 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Thu 2018-04-12 05:31:55 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 6 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-04-12 05:31:56 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 7 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Thu 2018-04-12 05:31:57 PM] [client 115.187.48.78] Finished under Sheet- Catalogue | Row Number : 8 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
